mmsi,ship_name,latitude,longitude,timestamp,message_type,ship_type,cog,sog,heading,destination,call_sign,imo_number,vessel_category,threat_range_km,risk_level,threat_description,_kafka_key,_kafka_partition,_kafka_offset
413054000,XIN QING DAO,22.40393,113.89193,2026-06-19 19:54:17.521761267 +0000 UTC,ShipStaticData,71,,,,CN SHK,BPAR,9270452,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413054000,0,104
413777116,RONGHANG388,22.30416,114.12065,2026-06-19 19:54:20.196319632 +0000 UTC,StandardClassBPositionReport,,157.6,0,511,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413777116,0,105
412472910,FULI288,22.3086,114.12467,2026-06-19 19:54:20.837716098 +0000 UTC,PositionReport,,360,0,259,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,412472910,0,107
413494920,YIN ZHU HU,22.30859,114.1543,2026-06-19 19:54:21.763963868 +0000 UTC,ShipStaticData,60,,,,HK<>NS,BQMR,9852987,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413494920,0,108
413054000,XIN QING DAO,22.40507,113.89156,2026-06-19 19:54:21.799493893 +0000 UTC,PositionReport,,343,5.9,346,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413054000,0,109
412329150,NAN GANG 82,22.30338,114.14737,2026-06-19 19:54:24.212494616 +0000 UTC,ShipStaticData,70,,,,HONG KONG,BQIV2,0,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,412329150,0,110
413314440,XIN MING ZHOU 92,35.12232,129.06681,2026-06-19 19:54:29.814210176 +0000 UTC,PositionReport,,29.1,0,293,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413314440,0,111
413907135,YUEYOULIAN905,22.35994,113.94791,2026-06-19 19:54:32.288919786 +0000 UTC,StandardClassBPositionReport,,338.5,0,338,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413907135,0,112
414265000,JINNING7,34.69975,129.12091,2026-06-19 19:54:32.876452067 +0000 UTC,PositionReport,,42.3,15.3,47,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,414265000,0,113
413472650,SHENG HANG TIAO ZHAN,1.22881,103.80006,2026-06-19 19:54:33.155447362 +0000 UTC,ShipStaticData,82,,,,SGP  PEBGC,BPOO4,9660815,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413472650,0,114
413465130,HUIWAN306,22.34653,114.11273,2026-06-19 19:54:46.283235801 +0000 UTC,PositionReport,,19.6,0,342,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413465130,0,118
413391750,NANFANGHAIGONG,22.41223,113.86615,2026-06-19 19:54:49.510668088 +0000 UTC,PositionReport,,360,0,511,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413391750,0,119
